priority,type,facc,conditions
4,Area,AH050,
4,Area,AK040,
4,Area,AK160,
4,Area,AL015,
4,Area,AL030,
4,Area,AL200,loc=22 AND vrr=1
4,Area,AL200,loc=22 AND vrr=4 AND hdp=0
4,Area,AL200,loc=22 AND vrr=4 AND hdp>0and<=20
4,Area,AL200,loc=22 AND vrr=4 AND hdp>20
4,Area,AL200,loc=22 AND vrr=8
4,Area,AL200,loc=8
4,Area,AM010,
4,Area,AM030,
4,Area,AM040,
4,Area,AM070,
4,Area,AQ116,
4,Area,AT020,
4,Area,BB090,
4,Area,BB110,
4,Area,BB150,
4,Area,BC080,
4,Area,BD010,
4,Area,BD020,acc<>1
4,Area,BD020,vrr=1 AND hdp=NULL
4,Area,BD020,vrr=4 AND hdp=0
4,Area,BD020,vrr=4 AND hdp>0and<=20
4,Area,BD020,vrr=4 AND hdp>20
4,Area,BD020,vrr=8 AND hdp=NULL
4,Area,BD030,
4,Area,BD030,acc<>1
4,Area,BD040,
4,Area,BD050,
4,Area,BD080,
4,Area,BD100,acc<>1
4,Area,BD100,vrr=1
4,Area,BD100,vrr=4
4,Area,BD100,vrr=8
4,Area,BD120,vrr<>8 AND acc<>1
4,Area,BD120,vrr<>8 AND hdp=0orNULL
4,Area,BD120,vrr=4 AND hdp>0and<=20
4,Area,BD120,vrr=4 AND hdp>20
4,Area,BD140,acc<>1
4,Area,BD140,vrr=1
4,Area,BD140,vrr=4
4,Area,BD140,vrr=8
4,Area,BD180,vrr=0or2 AND hdp=NULL
4,Area,BD180,vrr=1 AND hdp=NULL
4,Area,BD180,vrr=4 AND hdp=0
4,Area,BD180,vrr=4 AND hdp>0and<=20
4,Area,BD180,vrr=4 AND hdp>20
4,Area,BD180,vrr=8 AND hdp=NULL
4,Area,FC021,mac=27or28or29
4,Area,FC021,mac=32or33
4,Area,FC021,mac=42
4,Area,FC021,mac=48
4,Area,FC021,mac=55
4,Area,FC021,mac=56
4,Area,FC041,tsp=3
4,Area,FC165,rtt=11
4,Area,FC165,rtt=4
4,Area,FC177,
4,Area,GB070,
4,Area,ZC040,
5,Line,FC021,mac=27or28or29 AND mbl=NULL
5,Line,FC021,mac=32or33 AND mbl=NULL
5,Line,FC021,mac=42 AND mbl=NULL
5,Line,FC021,mac=48 AND mbl=NULL
5,Line,FC021,mac=55 AND mbl=NULL
5,Line,FC177,
5,Line,GB070,
5,Area,AL005,
5,Area,BB010,mac=12
5,Area,BB115,
5,Area,BB170,
5,Area,FC021,mac=24
5,Area,FC021,mac=44
5,Area,FC021,mac=58
5,Area,FC031,mac=4
5,Area,FC031,mac=41
5,Area,FC036,mac=0or999
5,Area,FC036,mac=37
5,Area,GB055,
#6,Line,AQ113,loc<>25 AND pro<>95and<>116 AND plt<>2and<>3
#6,Line,AQ113,loc<>25 AND pro=116
#6,Line,AQ113,loc<>25 AND pro=95 OR plt=2or3
6,Line,BB010,mac=12
6,Line,BB170,
6,Line,BC040,
6,Line,BH010,loc<>25
6,Line,BI020,
6,Line,FC021,mac=24 AND mbl=NULL
6,Line,FC021,mac=44 AND mbl=NULL
6,Line,FC021,mac=58 AND mbl=NULL
6,Line,FC031,mac=4
6,Line,FC036,
6,Line,FC130,
6,Line,FC165,atn=1 AND exs=22 AND rtt<>3
6,Line,FC165,atn=1 AND exs=22 AND rtt=3
6,Line,FC165,atn=1 AND exs=23 AND rtt<>3
6,Line,FC165,atn=1 AND exs=23 AND rtt=3
6,Line,FC165,atn=2 AND exs=22 AND rtt<>3
6,Line,FC165,atn=2 AND exs=22 AND rtt=3
6,Line,FC165,atn=2 AND exs=23 AND rtt<>3
6,Line,FC165,atn=2 AND exs=23 AND rtt=3
6,Line,FC165,exs=0 AND rtt<>3
6,Line,FC165,exs=0 AND rtt=3
6,Line,FC170,
6,Line,GB055,
6,Area,BB040,vrr=1
6,Area,BB040,vrr=4or8
6,Area,BB140,vrr=1
6,Area,BB140,vrr=4or8
6,Area,BB190,
6,Area,BB220,vrr=1
6,Area,BB220,vrr=4or8
6,Area,FC031,mac=40
6,Area,FC031,mac=5
6,Area,FC036,mac=15
6,Area,FC036,mac=22
6,Area,FC036,mac=43
6,Area,FC041,tsp=6or7
6,Area,FC170,
7,Line,BA010,acc=1 AND slt<>6and<>8
7,Line,BA010,acc=2 AND slt<>6and<>8
7,Line,BA010,slt=6or8
7,Line,BB040,vrr=1
7,Line,BB040,vrr=4or8
7,Line,BB140,vrr=1
7,Line,BB140,vrr=4or8
7,Line,BB190,
7,Line,BB220,vrr=1
7,Line,BB220,vrr=4or8
7,Line,BB230,
7,Line,BB240,vrr=1
7,Line,BB240,vrr=4or8
7,Line,FC031,mac=40or41
7,Line,FC031,mac=5
7,Line,FC041,tsp=2
8,Line,AQ010,
8,Line,AQ040,bsc<>12 AND bot<>4and<>10and<>11
8,Line,AQ040,bsc=12 OR bot=4or10or11
8,Line,AQ045,
#8,Line,AQ113,loc=25
8,Line,AT030,
8,Line,AT060,
8,Line,BH010,loc=25
8,Line,BI040,
8,Line,FC041,tsp=4
8,Area,AQ040,bsc<>12 AND bot<>4and<>10and<>11
8,Area,AQ040,bsc=12 OR bot=4or10or11
8,Area,AQ045,
8,Area,BC060,
