org_row,org_id,org_name,phase_col,phase_id,phase_name,start_hour,time,vicinity_id,latitude,longitude,mode,activity,optempo,other,,
7,UA-HQ,UA-HQ,2,1,Early-Entry -Airfield,0.00,15-Jan-2005 00:00,MARNEULI-AFLD,41.453,44.809,prepare,,low,,,
8,BIC,BIC,2,1,Early-Entry -Airfield,0.00,15-Jan-2005 00:00,MARNEULI-AFLD,41.453,44.809,prepare,,low,,,
9,1-CABN,1-CABN,2,1,Early-Entry -Airfield,0.00,15-Jan-2005 00:00,MARNEULI-AFLD,41.453,44.809,prepare,,low,,,
10,2-CABN,2-CABN,2,1,Early-Entry -Airfield,0.00,15-Jan-2005 00:00,MARNEULI-AFLD,41.453,44.809,prepare,,low,,,
11,3-CABN,3-CABN,2,1,Early-Entry -Airfield,0.00,15-Jan-2005 00:00,VAZIANI-AFLD,41.614,45.048,prepare,,low,,,
12,AVNDET,AVNDET,2,1,Early-Entry -Airfield,0.00,15-Jan-2005 00:00,VAZIANI-AFLD,41.614,45.048,prepare,,low,,,
13,NLOS,NLOS,2,1,Early-Entry -Airfield,0.00,15-Jan-2005 00:00,VAZIANI-AFLD,41.614,45.048,prepare,,low,,,
14,FSB,FSB,2,1,Early-Entry -Airfield,0.00,15-Jan-2005 00:00,VAZIANI-AFLD,41.614,45.048,prepare,,low,,,
15,159-AVNCO,159-AVNCO,2,1,Early-Entry -Airfield,0.00,15-Jan-2005 00:00,VAZIANI-AFLD,41.614,45.048,prepare,,low,,,
16,7-158-AVNCO,7-158-AVNCO,2,1,Early-Entry -Airfield,0.00,15-Jan-2005 00:00,VAZIANI-AFLD,41.614,45.048,prepare,,low,,,
7,UA-HQ,UA-HQ,3,2,Move-to-Border,1.00,15-Jan-2005 01:00,MARNEULI-AFLD,41.453,44.809,move,,medium,,,
8,BIC,BIC,3,2,Move-to-Border,1.00,15-Jan-2005 01:00,MARNEULI-AFLD,41.453,44.809,move,,medium,,,
9,1-CABN,1-CABN,3,2,Move-to-Border,1.00,15-Jan-2005 01:00,MARNEULI-AFLD,41.453,44.809,move,,medium,,,
10,2-CABN,2-CABN,3,2,Move-to-Border,1.00,15-Jan-2005 01:00,MARNEULI-AFLD,41.453,44.809,move,,medium,,,
11,3-CABN,3-CABN,3,2,Move-to-Border,1.00,15-Jan-2005 01:00,VAZIANI-AFLD,41.614,45.048,move,,medium,,,
12,AVNDET,AVNDET,3,2,Move-to-Border,1.00,15-Jan-2005 01:00,VAZIANI-AFLD,41.614,45.048,move,,medium
13,NLOS,NLOS,3,2,Move-to-Border,1.00,15-Jan-2005 01:00,VAZIANI-AFLD,41.614,45.048,move,,medium
14,FSB,FSB,3,2,Move-to-Border,1.00,15-Jan-2005 01:00,VAZIANI-AFLD,41.614,45.048,move,,medium
15,159-AVNCO,159-AVNCO,3,2,Move-to-Border,1.00,15-Jan-2005 01:00,VAZIANI-AFLD,41.614,45.048,move,,medium
16,7-158-AVNCO,7-158-AVNCO,3,2,Move-to-Border,1.00,15-Jan-2005 01:00,VAZIANI-AFLD,41.614,45.048,move,,medium
7,UA-HQ,UA-HQ,4,3,Tactical-High-Speed-Approach,3.00,15-Jan-2005 03:00,SHYKHLY,41.305,45.117,move,,high
8,BIC,BIC,4,3,Tactical-High-Speed-Approach,3.00,15-Jan-2005 03:00,SHYKHLY,41.305,45.117,move,,high
9,1-CABN,1-CABN,4,3,Tactical-High-Speed-Approach,3.00,15-Jan-2005 03:00,SHYKHLY,41.305,45.117,move,,high
10,2-CABN,2-CABN,4,3,Tactical-High-Speed-Approach,3.00,15-Jan-2005 03:00,SHYKHLY,41.305,45.117,move,,high
11,3-CABN,3-CABN,4,3,Tactical-High-Speed-Approach,3.00,15-Jan-2005 03:00,SHYKHLY,41.305,45.117,move,,high
12,AVNDET,AVNDET,4,3,Tactical-High-Speed-Approach,3.00,15-Jan-2005 03:00,SHYKHLY,41.305,45.117,move,,high
13,NLOS,NLOS,4,3,Tactical-High-Speed-Approach,3.00,15-Jan-2005 03:00,SHYKHLY,41.305,45.117,move,,high
14,FSB,FSB,4,3,Tactical-High-Speed-Approach,3.00,15-Jan-2005 03:00,SHYKHLY,41.305,45.117,move,,high
15,159-AVNCO,159-AVNCO,4,3,Tactical-High-Speed-Approach,3.00,15-Jan-2005 03:00,SHYKHLY,41.305,45.117,move,,high
16,7-158-AVNCO,7-158-AVNCO,4,3,Tactical-High-Speed-Approach,3.00,15-Jan-2005 03:00,SHYKHLY,41.305,45.117,move,,high
7,UA-HQ,UA-HQ,5,3A,Defense-0,5.00,15-Jan-2005 05:00,KIROVABAD-ALFA,40.713,46.252,prepare,,low
